LINK,AUTHOR,CONTENT,REACTIONS,COMMENTS,SHARES,NARRATIVE
https://www.facebook.com/secureamericanow/posts/pfbid02KVnTKbn1dRUHqEwNQSPTjGoUQj8YrTQXU99MywNrTnZBvBRRW9YumDKHAixJCAPWl,Secure America Now,"Turns out the Shooter at the Lakewood Church is identified as a transgender by the name Genesse Moreno, but also identified as ""Jeffery Escalate.""",178.0,80.0,93.0,lakewood_shooter_engagements
https://fb.watch/vwXR0ClapZ/,,,423.0,153.0,,lakewood_shooter_engagements
https://www.facebook.com/mediaresearchcenter/posts/pfbid08tAhvPEbqgPrxvXZ126cUomTGXP26azJEvpb4tD54DMV84V4T3PriEtZvYfNjkjBl,Media Research Center,"ABC, CBS, and NBC are refusing to acknowledge that the Lakewood shooter identified as transgender. ",104.0,36.0,47.0,lakewood_shooter_engagements
https://www.facebook.com/pamelageller/posts/pfbid034FjA3nJF3PmJPdcCA3hFD4scW17n62honhRbZBU1WDkVHMvVVJopTYWQcpNqhyXml,Pamela Geller,"TRANS-TERROR: Lakewood Church Shooter Identified As Transgender Immigrant,  ‘ Free Palestine’ Written on Rifle",52.0,24.0,31.0,lakewood_shooter_engagements
https://www.facebook.com/TheDallasExpress/posts/pfbid02mzUnmLeniPswJGgve8pQ52TbvM5voQm1Ez3eSqvTGeYZxXb5G2tZSg9TqXrSw7q6l,Dallas Express,Lakewood Church shooter identified as 36-year-old transgender woman Genesse Ivonne Moreno. Moreno previously identified as “Jeffrey Escalante” prior to attacking Joel Osteen’s Houston church. ,12.0,8.0,3.0,lakewood_shooter_engagements
https://www.facebook.com/Sarah.Fields1836/posts/pfbid02HhVbxsgT7N4xouhte8FyVFgfniSJR33GVLSKw5aqZmXoMAkmmK1owUbMqmpWUhvnl,Sarah J Fields,Confirmed - The Lakewood Church shooter with “Free Palestine” written on her AR-15 was a TIF (Trans Identified Female). ,25.0,13.0,22.0,lakewood_shooter_engagements
https://www.facebook.com/ThePostMillennial/posts/pfbid0E5Uj5YYoDD3MseZUMiT6tFm9HpH1bCtdKX7rbyQTJpkUXdwrit1aPMpJuv85ueYBl,The Post Millennial,TAMPON TIM: Tim Walz forced Minnesota schools to stock tampons in boys’ bathrooms so girls who think they’re boys could access them,22.0,9.0,8.0,walz_tampons_engagements
https://www.facebook.com/realCharlieKirk/videos/839535178153124,,,2700.0,1100.0,,walz_tampons_engagements
https://www.facebook.com/ToddStarnesFNC/posts/pfbid0ZZhDixJQuaFoB8VLNYXuJrgd1oKnxuBvYLmMR5YeoD4CdxYxpu5cedAvTcwgWXFAl,,,,,,walz_tampons_engagements
https://www.facebook.com/MegynKelly/posts/pfbid02zoDbDgc2ZGt26P28ve77vkgagegVVFkLcRhSGZmgVndWcRrJjES36vHWQBSiBDeil,Megyn Kelly,"They are also telling us that Tim Walz did not sign a law mandating tampons in all grade four through 12 bathrooms, including the boys bathrooms – except he did and there is no doubt about it.",1100.0,1400.0,168.0,walz_tampons_engagements
https://www.facebook.com/mediaresearchcenter/posts/pfbid037pF6w2W4bH5DhcNTcANSwprWg3WvfNx7S7oinYV9Xf57THro3JcsrLqVHERbcCTsl,Media Research Center,,2800.0,1100.0,1400.0,walz_tampons_engagements
https://www.facebook.com/abbyjohnsonprolife/posts/pfbid02HvV5JApRWdyH48PFvspcBfvgMiuFefnfj4ztbsa16xEbP3Xke5C4RbS3sZbuFvxbl,Dr. Abby Johnson,"This is an advisor to Tim Walz, Kamala’s VP pick. This gentleman pushed Walz to install tampon dispensers in boy’s bathrooms throughout Minnesota schools.",1800.0,698.0,1800.0,walz_tampons_engagements
https://www.facebook.com/NYPost/posts/pfbid0hrseMufRJXehirsEbJkKQxETficEoRsC8EdnrYmJwK47hdQvJJnMF4q27RAKn7yrl,New York Post,“That boy would be drowning in prom invites.”,621.0,463.0,84.0,walz_tampons_engagements
https://www.facebook.com/KevinSteeleTV/posts/pfbid0Q9eK8rGNu7p4RRvWqGczvTmoGmWTeug6sZEZhUZ4ixitrtMAwRFCVxeCpy1BD2Gql,Kevin Steele,TRUTH ABOUT TIM | This is one of Tim Walz's trusted advisors. They were key in getting Walz to install tampon dispensers in boy's bathrooms in Minnesota schools.,458.0,290.0,487.0,walz_tampons_engagements
https://www.facebook.com/permalink.php?story_fbid=pfbid0VK6dML7JeYPH527GPPVcPE7Lvcav6oQeMMKhzmbJjhKi9xUrQ77v57bDqHvLWd23l&id=100044196440904,The Austin Rhodes Show,The DEMS have doubled down on WOKE.,389.0,593.0,239.0,walz_tampons_engagements
