LINK,CONTENT,AUTHOR,RETWEETS,QUOTES,LIKES,NARRATIVE
https://x.com/visegrad24/status/1757085310809251896,"BREAKING:

The shooting at Joel's Osteen's Lakewood Church in Houston turns out to be an anti-Israel terror attack.

A 5-y-old boy was critically injured after being shot by the transgender woman Genesse Moreno, born as Jeffrey Moreno.

""Free Palestine"" was written on the rifle",Visegrád 24,2850,424,9664,lakewood_shooter_engagements
https://x.com/MattWallace888/status/1757087836849750046,"BREAKING: Remember how the media all reported that the shooter at Joel Osteen's Lakewood Church was a woman?

Turns out it was actually yet another shooting by a transgender Bernie Sanders supporter who changed their name from Jeffery Escalante to Genesse Moreno ",Matt Wallace,9772,453,25200,lakewood_shooter_engagements
https://x.com/CollinRugg/status/1757083595536314505,"JUST IN: The shooter at Joel Osteen's Lakewood Church has been identified as a transgender Bernie Sanders supporter.

Shocker.

The individual was identified as Genesse Moreno who was previously known as Jeffery Escalante.

Moreno, who is clearly unstable, allegedly brought a 5-year old to the shooting who was shot during the incident.

The child is in critical condition.

The gun that was used to carry out the mass shooting allegedly had ""free Palestine"" on it.|

Back in 2020, Moreno shared a photo of Bernie Sanders on Instagram with the caption: ""I WANT HIM IN THE OFFICE as the US PRESIDENT.""",Collin Rugg,4440,449,14900,lakewood_shooter_engagements
https://x.com/4Mischief/status/1757147660744626557,"The shooter at Lakewood Church in Houston, Texas was a transgender. Born a man, transitioned to a woman. 

Is transgenderism a mental disorder and should it be redefined that way again?

How will the left identify him as a MAGA extremist or a “mostly” white supremacist?",• ᗰISᑕᕼIᗴᖴ ™ •,688,48,1392,lakewood_shooter_engagements
https://x.com/SaraGonzalesTX/status/1757068047553007739," BREAKING: Lakewood Church shooter identified as a transgender, legal name Genesse Moreno but went by the name “Jeffrey.” ",Sara Gonzales,3583,1149,9074,lakewood_shooter_engagements
https://x.com/libsoftiktok/status/1757079921414091105,"BREAKING: The Lakewood Church shooter was transgender. He went by the name “Genesse” and previously “Jeffrey.”

Another act of trans terrorism. We need to have a national conversation about the LGBTQ movement turning youth into violent extremists.",Libs of TikTok,4333,436,15900,lakewood_shooter_engagements
https://x.com/robbystarbuck/status/1757081304791756921,"The Lakewood Church shooter was a trans migrant from El Salvador and her gun had ""Free Palestine"" on it.

For those catching up, Genesse was a biological woman who identified as a man named Jeffrey.

Wokeness is dangerous. Thank God for the 2 good guys who stopped her. ",Robby Starbuck,1124,97,3282,lakewood_shooter_engagements
https://x.com/libsoftiktok/status/1820960870773747870,"Tim Walz calls Republicans “creepy” and “weird.”

This is the guy who signed laws requiring tampons in boys bathrooms, allows kids to get their body parts chopped off, and wants p**n in schools.

Talk about weird and creepy… ",Libs of TikTok,16500,695,67000,walz_tampons_engagements
https://x.com/MJTruthUltra/status/1822125067079123021," 911 — I just Witnessed a Homicide

Tim Walz Put Tampons in Little Boys Bathrooms & Protected Pedophiles! — That is Kamala Harris VP

He also Signed a Law allowing the Kidnapping of Children and He Abolished Columbus Day",MJTruthUltra,1208,10,3558,walz_tampons_engagements
https://x.com/SteveGuest/status/1850572457796674034,"UNHINGED: Gwen Walz says public schools stocking tampons in boys' bathrooms is about ""learning to read and closing gaps""",Steve Guest,545,196,1594,walz_tampons_engagements
https://x.com/EndWokeness/status/1820958589734756507,"Governor Tim Walz on Republicans:

""These guys are creepy and, yes, just weird as hell""

He put tampons in boys bathrooms.",End Wokeness,4522,299,34000,walz_tampons_engagements
https://x.com/Liz_Wheeler/status/1820996947815149881,Tampon Tim is hands down the best political nickname ever. It’s so… savagely effective. In one word tells you EVERYTHING you need to know about Tim Walz’s dangerous radicalism. He put tampons in men’s bathrooms! He’ll trans kids. He took away parental rights. He’s woke & creepy.,Liz Wheeler,2872,103,9519,walz_tampons_engagements
https://x.com/Liz_Wheeler/status/1820821479086334134,"Tim Walz put tampons in men's bathrooms.

Tim Walz allows men in women's sports.

Tim Walz permits CHILDREN to undergo transgender genital mutilation surgeries.

Tim Walz is a dangerous & weird.

Kamala PICKED him. His radical policies are hers.",Liz Wheeler,10000,264,34600,walz_tampons_engagements
https://x.com/megynkelly/status/1822817730191335564,"1. Joe Biden was mentally unfit for months/years and Kamala, the Ds and the media lied to us all.
2. Those Olympic boxers are male and went thru male puberty.
3. Tim Walz signed a law requiring tampons in all grade 4-12 school bathrooms and made a point of including boys’ bathrooms.
4. Walz knew his Nat’l Guard unit was going to Iraq & quit anyway. He knew the deployment was coming at least as of Feb ‘05 (one vet says fall ‘04) & didn’t retire until May ‘05. Some men in the until felt abandoned. 
5. Walz has repeatedly used a title he didn’t earn (retired command Sgt major), said he was “in war,” and said (& let others say) that he served in Operation Enduring Freedom when he didn’t. When it was brought to his office’s att’n years ago by upset vets, he changed nothing.",Megyn Kelly,8323,303,34700,walz_tampons_engagements
https://x.com/charliekirk11/status/1826463097005244852,Walz put tampons in 10 year old boys bathrooms.,Charlie Kirk,839,57,5564,walz_tampons_engagements
