LINK,CONTENT,AUTHOR,RETWEETS,QUOTES,LIKES,DATE
https://x.com/robbystarbuck/status/1856802724991336448,"Your new Attorney General is going to be Matt Gaetz and your new Director of National Intelligence is going to be Tulsi Gabbard.

War has been declared on the deep state. 

Congrats to ",Robby Starbuck,2004.0,34.0,12600.0,"3:54 PM · Nov 13, 2024"
https://x.com/libsoftiktok/status/1858552924479041733,Nurse in Kansas allegedly received a letter from the ,Libs of TikTok,1140.0,36.0,2651.0,"11:48 AM · Nov 18, 2024"
https://x.com/MJTruthUltra/status/1857585962848579690,Who’s rooting for Mike Tyson?,MJTruthUltra,96.0,16.0,741.0,"7:46 PM · Nov 15, 2024"
https://x.com/ClayTravis/status/1856857613243179221,You guys have been winning too many NFL bets so now DraftKings and FanDuel both had to revise their earnings guidance down.,Clay Travis,,,,"7:32 PM · Nov 13, 2024"
https://x.com/SteveGuest/status/1858524888392413617,Quid pro quo: Bob Casey Endorsed the PA Election Official Who Is Openly Defying State Law To Count Invalid Ballots,Steve Guest,54.0,6.0,94.0,"9:57 AM · Nov 18, 2024"
https://x.com/EndWokeness/status/1857587891448500254,"The very 1st page of DNC platform was an apology to ""tribal nations"" for the USA. 

Trump won 64% of the Native vote.",End Wokeness,717.0,32.0,5126.0,"7:54 PM · Nov 15, 2024"
https://x.com/Liz_Wheeler/status/1854275442410402101,"Abortion got a bigger cheer than God during Kamala’s speech.

And that’s why she lost.",Liz Wheeler,1171.0,26.0,9387.0,"4:31 PM · Nov 6, 2024"
https://x.com/Liz_Wheeler/status/1853917662713417794,"IF YOU SEE SOMETHING, SAY SOMETHING! Stop election cheating today",Liz Wheeler,317.0,4.0,1459.0,"4:49 PM · Nov 5, 2024"
https://x.com/megynkelly/status/1855993100889419783,Support this fully.,Megyn Kelly,1425.0,146.0,17500.0,"10:16 AM · Nov 11, 2024"
https://x.com/charliekirk11/status/1857155302074024120,"One of the most important agenda items for the Trump admin is dramatically trimming the list of people with a security clearance. 

For a large set of DC hacks, security clearances stopped being a certification that a person can be trusted with sensitive material and instead became a way to cash in. D.C. insiders use their security clearances to get lucrative board seats and contractor jobs. 

But it's even more sinister than that: People with security clearances repeatedly use their access to ""classified info"" (which they can, of course, never reveal) to engage in character assassination of their enemies and justify authoritarian, thuggish, and illegal behavior.

A good place to start? Any person involved with pushing the Russia collusion hoax loses their security clearance, day one.",Charlie Kirk,2485.0,82.0,13600.0,"3:15 PM · Nov 14, 2024"
https://x.com/MattWalshShow/status/1848841832559509891,The guy saying that Trump isn't tough:,The Matt Walsh Show,55.0,3.0,436.0,"5:40 PM · Oct 22, 2024"
https://x.com/scarlett4kids/status/1858242903023206509,"Let's get back to the basics.
Family first.",Scarlett Johnson,92.0,7.0,493.0,"3:16 PM · Nov 17, 2024"
https://x.com/Liz_Wheeler/status/1856156541872726113,"Not a fan of Elise Stefanik as Ambassador to the United Nations.

She voted for the “Equality Act” which would codify abortion, allow sexually explicit content in children’s schools, & enable men to compete in women’s sports.

Why her?

You gotta be based to defeat globalists.",Liz Wheeler,501.0,38.0,2674.0,"9:06 PM · Nov 11, 2024"
https://x.com/megbasham/status/1857959832495460515,"Fellas, when you see a lady running through ex husbands like candy, don’t you stop and consider maybe she’s the problem?? I mean I know she’s pretty, but what’s the thought process here?",Megan Basham,15.0,3.0,546.0,"8:31 PM · Nov 16, 2024"
https://x.com/charliekirk11/status/1856814386243146011,"Ladies and gentleman, your nominee for Attorney General, Matt Gaetz: 

""Everything is not awesome. We can't keep doing things the way we've been doing them...""",Charlie Kirk,1515.0,45.0,11300.0,"4:40 PM · Nov 13, 2024"
https://x.com/DameScorpio/status/1858605139659288647,"LOOKS like Dan went into PROTECT mode at Saturday nights UFC with President Trump. Honestly, I would feel sooooooo much better about President Trumps safety if Dan Bongino was heading up the Secret Service and in charge of protecting the President. ",𝓓𝓪𝓻,114.0,5.0,378.0,"3:16 PM · Nov 18, 2024"
https://x.com/Teagan1776/status/1634044958197022720,Looks like I have a copycat going by ,Teagan1776,274.0,21.0,786.0,"11:14 PM · Mar 9, 2023"
https://x.com/DrLoupis/status/1858084570270228868,I was so blessed to recieve this from orphans from war areas. ,Dr. Anastasia Maria Loupis,702.0,10.0,3058.0,"4:47 AM · Nov 17, 2024"
https://x.com/scarlett4kids/status/1858027540830412826,,Scarlett Johnson,,,,"1:01 AM · Nov 17, 2024"
https://x.com/scarlett4kids/status/1857101714995753406,Gray Check,Scarlett Johnson,,,,"11:42 AM · Nov 14, 2024"
https://x.com/glennbeck/status/1857273749298422134,The finished ‘great room’ Standing Rock Ranch Christmas tree.   Spread the joy.   It cannot come soon enough for me.,Glenn Beck,231.0,18.0,4622.0,"11:05 PM · Nov 14, 2024"
https://x.com/iheartmindy/status/1858590601966674029,"Dear President Trump,

Corrupt Nevada officials might have allowed you to win here....but that's only because they can't afford any investigation into the fraud here otherwise. Clearly, something needs to be done about states like ours and Arizona.

In the most cowardly act imaginable, Las Vegas Clark County Commisioners in a meeting where only half of them showed up to face the public....illegally cut down public comment and testimony from voters and election poll watchers down to an impossible 1 minute, which made every instance of election fraud, mysteriously deleted ballots by the thousands, poll watchers being banned from watching, statistical impossibilities, the fact every important down ballot race switched to blue DAYS after the election, and people (like me) who's votes still have registered as counted all the more easier to ignore for these political parasites.

And for the second time a small radical leftist group that was working and imbedded with our elections the entire time testified against the citizens of Nevada on how there was no fraud at all, and then sprained their wrists congratulating themselves and government officials on the back for their glorious work. Can someone tell me why radical leftists are even allowed to run our elections without any chain of custody or transparency at all?

As the winner (so they can't say you're just trying to flip it) you need to send a team into all these battleground states to investigate this unbelievable fraud they've been getting away with. Once corruption has cemented itself in like this it's impossible to get rid of...because these people aren't going to just investigate and arrest themselves for fraud.

We've compiled stacks of proof over several elections...but we have no recourse here because everyone from the AG, to the SOS, to the judges are all sitting in their seats due to the same election fraud no matter the party. The Nevada GOP is just as corrupt, they've thwarted and buried every single America first candidate they've ever had...including me, I lived it.

If this country is to truly turn itself around....then it's not enough to vote en masse to beat the rig just for the presidential seat. We MUST purge fraud at the local, county, and state level to finally stop these lifetime criminals from destroying America within. ",Mindy MF Robinson,352.0,23.0,1082.0,"2:18 PM · Nov 18, 2024"
